GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ESA001
"G480001095011","1990","TX",,,,,,,,"1","9501",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000165167","0000004035","BG 1","S","+31989858","-095493659",,504
"G480001095012","1990","TX",,,,,,,,"2","9501",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000015451","0000000037","BG 2","S","+32061100","-095499077",,548
"G480001095013","1990","TX",,,,,,,,"3","9501",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000231306","0000000232","BG 3","S","+31974332","-095618887",,493
"G480001095021","1990","TX",,,,,,,,"1","9502",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000288742","0000002468","BG 1","S","+31969331","-095754825",,607
"G480001095022","1990","TX",,,,,,,,"2","9502",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000102001","0000000243","BG 2","S","+31874321","-095817188",,227
"G480001095023","1990","TX",,,,,,,,"3","9502",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000114305","0000001286","BG 3","S","+31816593","-095784733",,401
"G480001095031","1990","TX",,,,,,,,"1","9503",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000282919","0000002004","BG 1","S","+31942145","-095944549",,348
"G480001095041","1990","TX",,,,,,,,"1","9504",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000090547","0000000545","BG 1","S","+31781237","-095899827",,227
"G480001095051","1990","TX",,,,,,,,"1","9505",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000002297","0000000000","BG 1","S","+31783187","-095611958",,274
"G480001095052","1990","TX",,,,,,,,"2","9505",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000002188","0000000000","BG 2","S","+31768036","-095615312",,290
"G480001095053","1990","TX",,,,,,,,"3","9505",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000003271","0000000000","BG 3","S","+31781864","-095627834",,528
"G480001095054","1990","TX",,,,,,,,"4","9505",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000015101","0000000018","BG 4","S","+31791177","-095650240",,478
"G480001095055","1990","TX",,,,,,,,"5","9505",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000342","0000000000","BG 5","S","+31768889","-095637790",,230
"G480001095061","1990","TX",,,,,,,,"1","9506",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000009560","0000000308","BG 1","S","+31768595","-095665865",,700
"G480001095063","1990","TX",,,,,,,,"3","9506",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000003037","0000000000","BG 3","S","+31746672","-095652185",,579
"G480001095064","1990","TX",,,,,,,,"4","9506",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000003302","0000000000","BG 4","S","+31738568","-095668594",,501
"G480001095065","1990","TX",,,,,,,,"5","9506",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000004754","0000000000","BG 5","S","+31728985","-095687564",,564
"G480001095071","1990","TX",,,,,,,,"1","9507",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001285","0000000000","BG 1","S","+31762685","-095625462",,228
"G480001095072","1990","TX",,,,,,,,"2","9507",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001338","0000000000","BG 2","S","+31756715","-095640620",,409
"G480001095073","1990","TX",,,,,,,,"3","9507",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000610","0000000000","BG 3","S","+31754237","-095634266",,223
"G480001095074","1990","TX",,,,,,,,"4","9507",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000003550","0000000000","BG 4","S","+31741418","-095635303",,327
"G480001095081","1990","TX",,,,,,,,"1","9508",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000586","0000000034","BG 1","S","+31759112","-095614664",,229
"G480001095082","1990","TX",,,,,,,,"2","9508",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000429","0000000000","BG 2","S","+31757288","-095623877",,288
"G480001095083","1990","TX",,,,,,,,"3","9508",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000836","0000000000","BG 3","S","+31753183","-095620460",,367
"G480001095084","1990","TX",,,,,,,,"4","9508",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000932","0000000000","BG 4","S","+31748071","-095617139",,299
"G480001095085","1990","TX",,,,,,,,"5","9508",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000007985","0000000000","BG 5","S","+31733678","-095613635",,1336
"G480001095091","1990","TX",,,,,,,,"1","9509",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000187163","0000001949","BG 1","S","+31804441","-095500630",,693
"G480001095092","1990","TX",,,,,,,,"2","9509",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000066639","0000000082","BG 2","S","+31898281","-095494521",,250
"G480001095093","1990","TX",,,,,,,,"3","9509",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000063819","0000000663","BG 3","S","+31843047","-095578726",,389
"G480001095094","1990","TX",,,,,,,,"4","9509",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000063787","0000000353","BG 4","S","+31833659","-095677425",,376
"G480001095095","1990","TX",,,,,,,,"5","9509",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000128060","0000000683","BG 5","S","+31751228","-095777560",,511
"G480001095096","1990","TX",,,,,,,,"6","9509",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000046629","0000000461","BG 6","S","+31705394","-095750858",,222
"G480001095097","1990","TX",,,,,,,,"7","9509",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000071397","0000000475","BG 7","S","+31668790","-095721320",,376
"G480001095098","1990","TX",,,,,,,,"8","9509",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000031017","0000000188","BG 8","S","+31701817","-095633055",,161
"G480001095099","1990","TX",,,,,,,,"9","9509",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000141406","0000000396","BG 9","S","+31727943","-095472220",,433
"G480001095101","1990","TX",,,,,,,,"1","9510",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000118307","0000000405","BG 1","S","+31665040","-095514822",,703
"G480001095102","1990","TX",,,,,,,,"2","9510",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000048297","0000000319","BG 2","S","+31650265","-095618743",,224
"G480001095103","1990","TX",,,,,,,,"3","9510",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000201569","0000000510","BG 3","S","+31583477","-095641155",,318
"G480001095104","1990","TX",,,,,,,,"4","9510",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000006770","0000000000","BG 4","S","+31623318","-095584736",,249
"G480001095105","1990","TX",,,,,,,,"5","9510",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000004439","0000000024","BG 5","S","+31630847","-095574645",,304
"G480001095106","1990","TX",,,,,,,,"6","9510",,,"99","Anderson","001",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000242549","0000000711","BG 6","S","+31626046","-095383667",,495
"G480003095013","1990","TX",,,,,,,,"3","9501",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000452889","0000000000","BG 3","S","+32451503","-102456417",,254
"G480003095014","1990","TX",,,,,,,,"4","9501",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001860779","0000000012","BG 4","S","+32330162","-102854276",,247
"G480003095021","1990","TX",,,,,,,,"1","9502",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001445","0000000000","BG 1","S","+32331761","-102542920",,545
"G480003095022","1990","TX",,,,,,,,"2","9502",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000495","0000000000","BG 2","S","+32327066","-102541413",,378
"G480003095023","1990","TX",,,,,,,,"3","9502",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001269","0000000000","BG 3","S","+32328018","-102553555",,475
"G480003095026","1990","TX",,,,,,,,"6","9502",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000645","0000000000","BG 6","S","+32320069","-102563283",,348
"G480003095027","1990","TX",,,,,,,,"7","9502",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000682","0000000000","BG 7","S","+32324297","-102564465",,323
"G480003095028","1990","TX",,,,,,,,"8","9502",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000542","0000000000","BG 8","S","+32328580","-102564828",,299
"G480003095031","1990","TX",,,,,,,,"1","9503",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000621","0000000000","BG 1","S","+32321915","-102543871",,257
"G480003095032","1990","TX",,,,,,,,"2","9503",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001541","0000000000","BG 2","S","+32315848","-102537338",,249
"G480003095033","1990","TX",,,,,,,,"3","9503",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000000576","0000000023","BG 3","S","+32318950","-102556957",,257
"G480003095034","1990","TX",,,,,,,,"4","9503",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001005","0000000000","BG 4","S","+32314560","-102555586",,389
"G480003095035","1990","TX",,,,,,,,"5","9503",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000001449","0000000000","BG 5","S","+32308885","-102552062",,409
"G480003095046","1990","TX",,,,,,,,"6","9504",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000538211","0000000100","BG 6","S","+32180339","-102620978",,213
"G480003095047","1990","TX",,,,,,,,"7","9504",,,"99","Andrews","003",,,"7","9999",,,,"9999","3","Texas","48",,,,"0001024744","0000000800","BG 7","S","+32277434","-102337974",,819
"G480005000011","1990","TX",,,,,,,,"1","0001",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000084644","0000000039","BG 1","S","+31469366","-094831020",,400
"G480005000012","1990","TX",,,,,,,,"2","0001",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000040992","0000000026","BG 2","S","+31427529","-094755787",,496
"G480005000013","1990","TX",,,,,,,,"3","0001",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000110361","0000000104","BG 3","S","+31415212","-094888417",,743
"G480005000014","1990","TX",,,,,,,,"4","0001",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000084742","0000000278","BG 4","S","+31371767","-094926347",,228
"G480005000015","1990","TX",,,,,,,,"5","0001",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000094327","0000000198","BG 5","S","+31302094","-094846994",,846
"G480005000021","1990","TX",,,,,,,,"1","0002",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000055958","0000003328","BG 1","S","+31415855","-094673016",,675
"G480005000022","1990","TX",,,,,,,,"2","0002",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000048119","0000000054","BG 2","S","+31357351","-094654479",,928
"G480005000023","1990","TX",,,,,,,,"3","0002",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000024231","0000000022","BG 3","S","+31273669","-094677636",,612
"G480005000031","1990","TX",,,,,,,,"1","0003",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000028734","0000000060","BG 1","S","+31383716","-094767421",,1223
"G480005000032","1990","TX",,,,,,,,"2","0003",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000020961","0000000009","BG 2","S","+31324576","-094791211",,864
"G480005000033","1990","TX",,,,,,,,"3","0003",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000046817","0000000047","BG 3","S","+31277048","-094780200",,555
"G480005000041","1990","TX",,,,,,,,"1","0004",,,"99","Angelina","005",,,"7","9999",,,,"9999","3","Texas","48",,,,"0000002258","0000000000","BG 1","S","+31356327","-094750673",,292
